tld,risk_score
ac.id,0.09448818897637795
ac.in,0.078125
ac.jp,0.0546448087431694
ac.uk,0.023404255319148935
ae,0.125
ai,0.13253012048192772
al,0.19230769230769232
am,0.10833333333333334
app,0.06724877450980392
art,0.1643835616438356
asia,0.20238095238095238
asn.au,0.2549019607843137
at,0.032989690721649485
az,0.15492957746478872
ba,0.17142857142857143
be,0.037815126050420166
bel.tr,0.12658227848101267
bg,0.07006369426751592
bio,0.2222222222222222
biz,0.035634743875278395
br,0.11764705882352941
by,0.20270270270270271
bz,0.1896551724137931
ca,0.008069939475453935
cat,0.08130081300813008
cc,0.06459948320413436
cf,0.9918233851185609
cfd,0.10236220472440945
ch,0.034482758620689655
cl,0.05396825396825397
click,0.16666666666666666
cloud,0.06175771971496437
club,0.035381750465549346
cn,0.9862258953168044
co,0.04741379310344827
co.id,0.11764705882352941
co.il,0.05314009661835749
co.in,0.1111111111111111
co.jp,0.03229527104959631
co.ke,0.16901408450704225
co.kr,0.05555555555555555
co.nz,0.045845272206303724
co.th,0.16176470588235295
co.uk,0.011939571150097465
co.za,0.04357798165137615
co.zw,0.23529411764705882
com,0.026158013945019317
com.ar,0.07434944237918216
com.au,0.034250129735339904
com.br,0.07428571428571429
com.cn,0.9371069182389937
com.co,0.25
com.hk,0.19047619047619047
com.mx,0.047619047619047616
com.my,0.09009009009009009
com.ng,0.38
com.ph,0.2033898305084746
com.pk,0.16216216216216217
com.pl,0.1111111111111111
com.sg,0.09230769230769231
com.tr,0.05803571428571429
com.tw,0.10655737704918032
com.ua,0.06896551724137931
com.vn,0.25
coop,0.18181818181818182
cx,0.23076923076923078
cyou,0.16883116883116883
cz,0.041254125412541254
de,0.014691235059760957
dev,0.04820295983086681
digital,0.2
dk,0.03591160220994475
do,0.2
edu,0.006379585326953748
edu.ar,0.15151515151515152
edu.au,0.11347517730496454
edu.cn,0.8734177215189873
edu.in,0.2033898305084746
edu.my,0.19607843137254902
ee,0.07246376811594203
email,0.18333333333333332
es,0.028011204481792718
eu,0.023
fi,0.03498542274052478
fm,0.11458333333333333
fr,0.027597402597402596
fun,0.02512562814070352
ga,0.9911582670203359
gd,0.14697406340057637
ge,0.1864406779661017
gg,0.1864406779661017
gle,0.2
go.id,0.05371900826446281
go.jp,0.09259259259259259
go.ug,0.2
gob.mx,0.16666666666666666
goog,0.23529411764705882
gov,0.010802469135802469
gov.au,0.05286343612334802
gov.cn,0.84375
gov.in,0.06578947368421052
gov.my,0.19607843137254902
gov.ph,0.16129032258064516
gov.sg,0.14285714285714285
gov.tw,0.18518518518518517
gov.uk,0.031055900621118012
govt.nz,0.09259259259259259
gp,0.1
gq,0.04483430799220273
gr,0.03006012024048096
gy,0.10204081632653061
hk,0.16176470588235295
host,0.2878787878787879
hr,0.05851063829787234
ht,0.6792452830188679
hu,0.06040268456375839
icu,0.0935672514619883
id,0.06018518518518518
ie,0.022540983606557378
in,0.0519774011299435
info,0.05485498108448928
info.pl,0.16129032258064516
ink,0.24528301886792453
int,0.16393442622950818
io,0.07557450841032931
ir,0.08196721311475409
is,0.07874015748031496
it,0.01545253863134658
jp,0.043227665706051875
kommune.no,0.13157894736842105
kr,0.14705882352941177
kz,0.11764705882352941
la,0.1791044776119403
lc,0.13580246913580246
lg.jp,0.09090909090909091
li,0.1527777777777778
life,0.13402061855670103
link,0.026298044504383007
live,0.06363636363636363
lk,0.1506849315068493
lt,0.07027027027027027
lu,0.1276595744680851
lv,0.1111111111111111
ly,0.1033210332103321
ma,0.16666666666666666
me,0.04411764705882353
mil,0.03115264797507788
ml,0.9901380670611439
mobi,0.16666666666666666
mx,0.15789473684210525
my,0.21875
my.id,0.09933774834437085
name,0.16129032258064516
ne.jp,0.2
net,0.033300547983700995
net.au,0.136986301369863
net.pl,0.18181818181818182
network,0.07432432432432433
news,0.15625
nhs.uk,0.1282051282051282
nl,0.006296508299942759
no,0.03296703296703297
nu,0.10204081632653061
on.ca,0.2
one,0.13559322033898305
online,0.0946372239747634
or.jp,0.04716981132075472
or.kr,0.17857142857142858
org,0.007388507946632648
org.au,0.031413612565445025
org.br,0.11702127659574468
org.il,0.12222222222222222
org.in,0.18333333333333332
org.nz,0.07692307692307693
org.tr,0.18181818181818182
org.uk,0.01090909090909091
org.za,0.1935483870967742
page,0.2549019607843137
pe,0.20967741935483872
ph,0.2236842105263158
pk,0.15476190476190477
pl,0.17084493964716807
pro,0.09848484848484848
pt,0.047619047619047616
pw,0.13559322033898305
qc.ca,0.14084507042253522
qld.gov.au,0.136986301369863
re,0.3888888888888889
ro,0.021164021164021163
rs,0.08029197080291971
rs.gov.br,0.18867924528301888
ru,0.9974326059050064
sa.gov.au,0.16129032258064516
se,0.02074688796680498
sg,0.11494252873563218
sh,0.13076923076923078
shop,0.03800475059382423
si,0.05759162303664921
site,0.1118508655126498
sk,0.05504587155963303
space,0.16483516483516483
store,0.12
su,0.11224489795918367
tech,0.08928571428571429
tk,0.9567099567099567
tn,0.19230769230769232
to,0.09917355371900827
top,0.19071945508727117
travel,0.15151515151515152
tv,0.03367003367003367
tw,0.1694915254237288
ua,0.192
uk,0.12121212121212122
us,0.03164556962025317
vic.gov.au,0.136986301369863
vip,0.12631578947368421
vn,0.2
wa.gov.au,0.12658227848101267
website,0.14285714285714285
win,0.10377358490566038
work,0.040892193308550186
world,0.1896551724137931
ws,0.030054644808743168
xn--p1ai,0.23636363636363636
xyz,0.03281982585398526
